Zygiella
Zoraida
Pyrrosia lingua
Pyrrosia
Pyrrhobryum
Pyrola morrisonensis
Pyrola alboreticulata
Puhuaea sequax
Pueraria montana
Pteris wallichiana
Pteris vittata
Pteris kidoi
Pteris cretica
Pteridium revolutum
Pteridium aquilinum latiusculum
Pseudotsuga wilsoniana
Pseudognaphalium affine
Pseudocolus fusiformis
Psathyrellaceae
Psacothea hilaris
Prunus taiwaniana
Prunus phaeosticta
Prunus obtusata
Prunus campanulata
Prunella vulgaris asiatica
Prunella vulgaris
Protobothrops mucrosquamatus
Prionoceridae
Prioneris thestylis
Prinsepia scandens
Primula miyabeana
Potentilla matsumurae
Potentilla indica
Potentilla
Pooideae
Ponyalis dolosa
Pontica
Pompilidae
Polytrichum
Polytrichaceae
Polythlipta
Polystichum stenophyllum
Polystichum prescottianum
Polystichum parvipinnulum
Polystichum nepalense
Polystichum acanthophyllum
Polystichum
Polyspora axillaris
Polyporales
Polyporaceae
Polypogon fugax
Polypodiopsida
Polypodiodes formosana
Polypodiodes amoena
Polypodiales
Polypodiaceae
Polygonoideae
Polygonia c-album
Polygonatum arisanense
Polygonaceae
Polydesmida
Polistes rothneyi
Pogonatum
Poeae
Poales
Poa annua
Plexippini
Platycarya strobilacea
Platanthera mandarinorum pachyglossa
Platanthera
Plantago lanceolata
Plantago asiatica
Plantae
Plagiosterna formosana
Plagiogyria glauca
Plagiogyria falcata
Pityrogramma calomelanos
Pittosporum illicioides
Pisum sativum
Pisum
Piper kadsura
Pinus taiwanensis
Pinus armandi mastersiana
Pinus
Pimpinella tagawae
Pimpinella niitakayamensis
Pilea rotundinucula
Pilea plataniflora
Pilea peploides major
Pilea peploides
Pilea notata
Pilea melastomoides
Pilea matsudae
Pilea aquarum brevicornuta
Pilea aquarum
Pilea
Pieris japonica taiwanensis
Picris hieracioides morrisonensis
Picris hieracioides
Picea morrisonicola
Physalis peruviana
Photinia serratifolia
Photinia niitakayamensis
Photinia beauverdiana notabilis
Pholiota
Phoenicurus fuliginosus
Phlyctis argena
Phengaris daitozana
Phengaris atroguttata
Phelotrupes taiwanus
Petaurista lena
Petasites formosanus
Persicaria thunbergii
Persicaria runcinata
Persicaria posumbu
Persicaria pilushanensis
Persicaria nepalensis
Persicaria jucunda
Persicaria chinensis
Persicaria biconvexa
Persicaria
Perrottetia arisanensis
Periparus ater
Perilla frutescens
Peracarpa carnosa
Peperomia tetraphylla
Penthimia
Peltigerales
Peltigeraceae
Peltigera neopolydactyla
Peltigera
Pedicularis verticillata
Pedicularis refracta transmorrisonensis
Pedicularis refracta
Pedicularis
Parus monticolus
Parnassia palustris
Parmelia
Paris polyphylla stenophylla
Paris polyphylla
Paraprenanthes sororia
Paranomala cincta
Parancistrocerus taihorinensis
Parancistrocerus
Paralepista flaccida
Paragymnopleurus ambiguus
Paraglenea swinhoei
Papilionoidea
Panorpa deceptor
Panorpa
Palomena
Paleosepharia excavata
Oxytate striatipes
Oxytate
Oxalis griffithii
Oxalis corniculata
Ovophis makazayazaya
Ourapteryx
Osmunda japonica
Osmorhiza aristata
Osmanthus matsumuranus
Osmanthus heterophyllus
Orthotrichales
Orthoptera
Oreta brunnea
Opiliones
Ophiorrhiza japonica
Ophiopogon intermedius
Oncorhynchus masou formosanus
Oenothera glazioviana
Oenanthe javanica
Odorrana swinhoana
Ochlodes niitakanus
Ochlodes niitakana
Ochlodes
Oberthueria formosibia
Oberonia costeriana
Oberonia arisanensis
Nymphalidae
Nucifraga caryocatactes owstoni
Nubelaria arisanensis
Notoseris melanantha
Nordstromia semililacina
Noctuidae
Niltava vivida
Nertera nigricarpa
Neptis taiwana
Neptis soma
Neptis sappho
Neptis nata
Neptis
Nephrotoma
Neozephyrus taiwanus
Neottia suzukii
Neottia deltoidea
Neope muirheadii nagasawae
Neolucanus swinhoei
Neolitsea variabillima
Neolitsea sericea
Neolitsea acuminatissima
Neocheiropteris ensata
Neanotis formosana
Neanotis
Nacaduba kurava therasia
Myrmica ritae
Myrmica pulchella
Myrmica
Myrmechis drymoglossifolia
Myriactis humilis
Myosotis arvensis
Myophonus insularis
Myiomela leucura
Mycenaceae
Mycena pura
Mycena leaiana australis
Mycena leaiana
Mycena haematopus
Mycena
Muscoidea
Muscicapa ferruginea
Muntiacus reevesi micrurus
Mucuna macrocarpa
Morus indica
Morchellaceae
Monotropastrum humile glaberrimum
Monotropastrum humile
Moneses uniflora
Monachosorum henryi
Mniaceae
Miscanthus sinensis
Miscanthus floridulus
Minois nagasawae
Milium effusum
Microstoma floccosum
Metopius
Mesastrape fulguraria
Merus flavosignatus
Meruliaceae
Menthinae
Menida violacea
Melolontha frater
Meloe
Melissa axillaris
Meimuna
Meghimatium fruhstorferi
Medicago lupulina
