Ageratum
Hydrocotyle acutiloba
Bryophyta
Hibiscus mutabilis
Marumba cristata
Anas crecca crecca
Aix galericulata
Rotala
Zosterops simplex
Stenopsocus
Prunus campanulata
Piper kadsura
Olene mendosa
Cladonia chlorophaea
Dicranales
Drosera burmanni
Turpinia formosana
Hierodula patellifera
Bufo bankorensis
Mallinella
Orthomorphella pekuensis
Cladonia
Emilia praetermissa
Youngia japonica
Callicarpa formosana formosana
Tulbaghia
Utricularia aurea
Pterygota
Timandra
Rubus alceifolius
Smilax bracteata
Asplenium nidus
Psychotria asiatica
Sambucus javanica
Broussonetia papyrifera
Ficus erecta beecheyana
Sigesbeckia orientalis
Ampelopsis glandulosa
Persicaria longiseta
Persicaria maculosa
Microlepia strigosa
Parantica aglea maghaba
Choreutis basalis
Phimenes flavopictus
Adaina microdactyla
Neuroptera
Amantis nawai
Helicorthomorpha
Petalochlamys
Criotettix bispinosus
Satsuma
Pericampylus
Buergeria otai
Rhaphidophoridae
Therates alboobliquatus
Rhacophoridae
Polydesmida
Amarygmini
Luchuena
Lepisorus fortuni
Blattodea
Pilea depressa
Propylea japonica
Celosia argentea
Plautia crossota
Commelinaceae
Perina nuda
Calliphoridae
Conocephalus melaenus
Thelypteridoideae
Solanum torvum
Pezizomycotina
Dindica
Marumba
Plesiophthalmus
Reduviidae
Elateroidea
Chrysopidae
Aemene
Holotrichia
Pterophorinae
Lophophelma
Timandra stueningi
Neocalyptis
Culicomorpha
Chrysaeglia
Drepanidae
Euproctis
Anisoneura
Nothomiza
Miltochrista arcuata
Nematocera
Metoeca foedalis
Scopula minorata
Loepa formosensis
Neochauliodes formosanus
Miltochrista
Termitoidae
Agathia laetata
Dindica taiwana
Euproctis taiwana
Parasarpa dudu
Coeliccia cyanomelas
Geometridae
Anas zonorhyncha
Gallinula chloropus
Pterophoroidea
Nephrolepis biserrata
Tettigoniidea
Brasenia schreberi
Setaria verticillata
Tagetes erecta
Corydalis
Ducetia
Cosmos bipinnatus
Plautia stali
Mallotus japonicus
Paraprenanthes sororia
Rutelinae
Melolonthinae
Sarcinodes
Sphingidae
Asopinae
Ganisa
Bombycoidea
Risoba
Miresa fulgida
Hipoepa fractalis
Sacada
Myrmicinae
Tyloptera
Macrochlamys hippocastaneum
Mecopoda
Cicadomorpha
Syrmaticus mikado
Neoscona
Lissachatina
Discophora sondaica
Dioscorea bulbifera
Hibiscus taiwanensis
Tetragnatha
Galinsoga
Anoplophora chinensis
Ephemeroptera
Cicadinae
Gotra
Chiasmia
Duttaphrynus melanostictus
Halyomorpha halys
Cerambycidae
Platypleura takasagona
Avicularioidea
Setaria parviflora
Thereuopoda clunifera
Serrognathus titanus sika
Psacothea hilaris
Symplocos migoi
Chrysochroa fulgidissima
Egretta garzetta
Coprinellus disseminatus
Macromia clio
Teleogryllus
Garcinia subelliptica
Equus asinus
Struthio camelus
Euploea tulliolus
Nycticorax nycticorax
Nyctemera
Anredera cordifolia
Mesembrius
Ptocasius strupifer
Entada
Polyspora axillaris
Tonga westwoodi
Symbrenthia brabira scatinia
Isoteinon lamprospilus
Pinales
Tachypompilus analis
Polypodiopsida
Attelabidae
Muntiacus reevesi micrurus
Zanthoxylum nitidum
Odontotermes formosanus
Ypthima multistriata
Myrma
Chronidae
Scleria terrestris
Trogaspidiini
Psychidae
Geisha distinctissima
Panesthia
Panellus
Schizophyllum commune
Acridoidea
Heteroptera
Clerodendrum cyrtophyllum
Hypolimnas bolina
Nyctemera adversata
Nephila pilipes
Elymnias hypermnestra
Nomia chalybeata
Hasarius adansoni
Orthetrum triangulare
Saurauia tristyla
Melicope semecarpifolia
Isachne globosa
Elaeagnus oldhamii
Artemisia capillaris
Limnophila rugosa
Tipula holoserica
Perisphaerus
Rhynchocoris humeralis
Pterocarpus indicus
Ampelopsis glandulosa hancei
Papilio paris nakaharai
Pachystachys lutea
Ectropis
