Magnoliopsida
Calamus formosanus
Ilex ficoidea
Castanopsis uraiana
Ardisia cornudentata morrisonensis
Meliosma squamulata
Symplocos glauca
Engelhardia roxburghiana
Gymnosphaera podophylla
Lasianthus
Sarcandra glabra
Psychotria asiatica
Gynostemma pentaphyllum
Turpinia formosana
Smilax
Machilus japonica kusanoi
Cryptotaenia japonica
Bosmania membranacea
Clathrus crispatus
Viola diffusa
Ophiorrhiza pumila
Chamaecyparis formosensis
Melastomeae
Cyperus alternifolius
Echinodorus cordifolius
Cheiropleuria integrifolia
Haplopteris elongata
Pandanus utilis
Cryptomeria japonica
Osmanthus fragrans
Psidium guajava
Bischofia javanica
Rosa chinensis
Persea americana
Gardenia jasminoides
Ceiba pentandra
Hypericum geminiflorum
Hypericum monogynum
Prunus campanulata
Hibiscus rosa-sinensis
Acalypha wilkesiana
Sphaeropteris lepifera
Ilex maximowicziana
Ficus microcarpa
Codiaeum variegatum
Dimocarpus longan
Cordyline fruticosa
Prunus mume
Duranta erecta
Rhododendron
Zingiberaceae
Magnolia compressa formosana
Canna indica
Opuntia
Magnolia figo
Zanthoxylum ailanthoides
Corymbia citriodora
Tagetes lemmonii
Coix lacryma-jobi
Acer serrulatum
Citrus maxima
Citrus × aurantium
Nandina domestica
Millettia pinnata
Alpinia zerumbet
Elaeocarpus decipiens
Pinus luchuensis
Juniperus chinensis
Araucaria heterophylla
Crateva adansonii formosensis
Prosaptia obliquata
Hymenasplenium excisum
Cassia fistula
Crocosmia × crocosmiiflora
Macaranga tanarius
Ficus subpisocarpa
Phegopteris decursive-pinnata
Tectaria simonsii
Machlolophus holsti
Liparis bootanensis
Berberis hayatana
Coptis morii
Dryopteris hasseltii
Diplaziopsis javanica
Lasianthus fordii
Alpinia uraiensis
Pourthiaea arguta
Meliosma rhoifolia
Aralia bipinnata
Neolitsea konishii
Stauntonia purpurea
Pericrocotus solaris griseogularis
Daimio tethys moori
Symplocos lancifolia
Bombus
Pomatorhinus musicus
Bambusicola sonorivox
Dopasia harti
Persicaria pubescens
Epidaus
Rhaphiolepis indica
Parapolybia
Opiliones
Epiphyllum oxypetalum
Lagerstroemia subcostata
Odontonema tubaeforme
Drymaria cordata
Phlyctis argena
Liriope muscari
Rhopalephora scaberrima
Acridoidea
Pterocarpus indicus
Tetragnathidae
Asimitellaria formosana
Oxalis debilis
Ichneumonidae
Staurogyne concinnula
Luperina
Paraprenanthes sororia
Haplopteris
Wendlandia formosana
Lasianthus attenuatus attenuatus
Pyrrosia lingua
Boehmeria densiflora
Rhododendron latoucheae
Fissistigma oldhamii
Aidia cochinchinensis
Oudemansiella radicata
Archaeognatha
Parmarion martensi
Dolomedes sulfureus
Ctenidae
Blattellidae
Carabidae
Laccotrephes
Laccotrephes pfeiferiae
Holorusia
Dolomedes
Qianlingula
Aquatica ficta
Oxytate
Leucauge celebesiana
Rhaphidophoridae
Leiobunum maximum
Cyrtophora moluccensis
Agrypnus
Eugryllacris
Araneidae
Conocephalus melaenus
Hermetia illucens
Paragymnopleurus ambiguus
Thereuopoda
Heteropoda
Thomisinae
Stypocladius
Takydromus
Therates fruhstorferi
Danainae
Lymantriinae
Sipyloidea sipylus
Miscanthus sinensis
Geometroidea
Miltochrista
Chrysaeglia magnifica
Dermaptera
Basiprionota angusta
Noctuoidea
Luxiaria
Okiscarta uchidae
Arctiinae
Lysimachia decurrens
Solanum nigrum
Ephemeroptera
Salvia hayatae
Hydrocotyle nepalensis
Rubus corchorifolius
Amata perixanthia
Argiope aetheroides
Crassocephalum crepidioides
Lilium formosanum
Coccinellini
Philodromidae
Oxyopidae
Cucujiformia
Homona
Neoscona scylloides
Polistes japonicus
Bipalium
Clausiliidae
Satsuma sphaeroconus
Angiospermae
Geothelphusa
Narosa
Satsuma mellea
Polygonum
Solanum americanum
Siler cupreus
Clinterocera nigra
Eocanthecona formosa
Eusthenaria
Satsuma
Protobothrops mucrosquamatus
Xylotrechus atronotatus
Broussonetia monoica
Ardisia sieboldii
Arachniodes rhomboidea
Trachelospermum asiaticum
Bredia oldhamii
Asplenium formosae
Macroglossum
Ficus pumila
Lepisorus fortuni
Piper sintenense
Vincetoxicum koi
Lagria formosensis
Nephila
Eurycorymbus cavaleriei
Boehmeria zollingeriana podocarpa
Pouzolzia sanguinea elegans
Ventilago leiocarpa
Euophrys
Meghimatium bilineatum
Tenebrionoidea
Sinocymbachus politus
Euphaedusa
Notocrypta curvifascia
Pterophoridae
Ades formosanus
Anisolabididae
Euproctis kanshireia
Pachystachys lutea
Fodina contigua
Portia
Crematogaster
Paratimomenus flavocapitata
Christella parasitica
Phyllanthus tenellus
Viola
Lactuca indica
Pteris multifida
Pteris vittata
Microlepia strigosa
Rhododendron × pulchrum
Basidiomycota
Urena lobata
Dolomedes raptor
Ficus sarmentosa nipponica
Mimela
Rosalia lesnei
Discophora sondaica
Persicaria capitata
Medinilla fengii
Alniphyllum pterospermum
Bridelia balansae
Sabia swinhoei
Nephrolepis cordifolia
Hydrocotyle sibthorpioides
Sida rhombifolia
Thelypteridoideae
Stephania japonica
Radermachera sinica
Styrax suberifolius
Soliva anthemifolia
Plantago major
Morus indica
Callicarpa formosana
Trema orientale
Carex
Clematis grata
Clinopodium gracile
Casearia glomerata
Ricaniinae
Pimelocerus
Life
Cosmodela batesi
Scutelleridae
Paratrachelophorus nodicornis
Mauremys mutica mutica
Elatostema hirtellipedunculatum
Lantana camara
Dioryx swinhoei
Gastropoda
Aegista
Erebidae
Biston strataria
Spilosomina
Orgyiini
Ramulus
Nymphalidae
Enicurus scouleri
Rosa rugosa
Forficulidae
Arthropoda
Boehmeria nivea
Causonis japonica
Causonis corniculata
Spilarctia
Plesiophthalmus
Graphium sarpedon
Rhamnus formosana
Machilus zuihoensis
Fabaceae
Triadica cochinchinensis
Pericampylus glaucus
Mikania micrantha
Elephantopus mollis
Glochidion rubrum
Paederia cavaleriei
Cyperus cyperoides
Ranunculus cantoniensis
Eupatorium tashiroi
Dioscorea
Ampelopsis glandulosa
Mussaenda parviflora
Toxicodendron succedaneum
Uncaria hirsuta
Tetrastigma formosanum
Asarum macranthum
Chlorophorus annularis
Phallus luteus
Phalangioidea
Erigeron annuus
Campsosternus
Melastoma candidum
Coccinellidae
Ficus
Hemipyxis quadripustulata
Lobelia nummularia
Pleocnemia cumingiana
Spilornis cheela hoya
Treron sieboldii
Melanitis phedima polishana
Hebomoia glaucippe
Mycalesis
Melogale subaurantiaca
Elymnias hypermnestra hainana
Dendrocitta formosae
Adiantum capillus-veneris
Motacilla alba leucopsis
Cyana sanguinea
Begonia cucullata
Bauhinia variegata
Motacilla cinerea
Euproctis taiwana
Bombax ceiba
Pieris canidia
Polistes gigas
Dalader formosanus
Paulownia × taiwaniana
Millettia pachycarpa
Heteropoda venatoria
Diploderma polygonatum xanthostomum
Cyrestis thyodamas
Papilio bianor
Athyma selenophora
Megachile rufovittata
Tettigoniidea
Thysanoptyx incurvata
Metaphire
Galerucini
Serrodes campana
Tiracola aureata
Orthetrum triangulare
Kaniska canace
Asota heliconia
Pisauridae
Seseria formosana
Erionota torus
Spirobolus formosae
Macrobrochis gigas
Euploea mulciber barsine
Salticidae
Tonkinacridina
Thlaspida biramosa
Rhabdoblatta takahashii
Pergesa acteus
Persicaria
Ilex formosana
Loepa formosensis
Neochauliodes sinensis
Euthalia formosana
Eucriotettix
Apiales
Centrotinae
Diplazium dilatatum
Psolodesmus mandarinus
Dicrurus macrocercus
Enidae
Nostoc commune
Serrognathus titanus sika
Diploderma
Phyllothelys werneri
Lindernia rotundifolia
Neptis nata
Calocedrus formosana
Ricaniidae
Papilio castor formosanus
Symbrenthia
Lagerstroemia speciosa
Hydrangea viburnoides
Clavaria zollingeri
Aeginetia indica
Graphium sarpedon connectens
Adinandra formosana
Viola formosana
Dicranopteris tetraphylla
Cinnamomum subavenium
Smilax china
Smilax hayatae
Plagiogyria falcata
Itea parviflora
Illicium arborescens
Quercus sessilifolia
Eurya crenatifolia
Stauntonia obovatifoliola
Syzygium elliptifolium
Rubus swinhoei
Myrsine seguinii
Quercus longinux
Plagiogyria euphlebia
Diospyros morrisiana
Litsea acuminata
Histiopteris incisa
Setaria palmifolia
Diplazium latifrons
Rubus trianthus
Lithocarpus brevicaudatus
Plagiogyria adnata
Diplopterygium glaucum
Maesa japonica
Dennstaedtia zeylanica
Lasianthus micranthus
Psidium cattleyanum
Acridotheres javanicus
Melanitis phedima
Chalcosia thaivana
Campsosternus watanabei
Prosaptia formosana
Xenohammus nebulosus
Prodromus clypeatus
Pomponia yayeyamana
Eterusia aedea
Cyclophoridae
Glomeridae
Ricania simulans
Setora postornata
Agrius convolvuli
Mycetina
Cryptalaus larvatus larvatus
Alloneda osawai
Cylapinae
Catoria sublavaria
Eucosmetus formosus
Hoya carnosa
Cuphea hyssopifolia
Cyperus eragrostis
Heptapleurum arboricola
Gelsemium sempervirens
Ficus virgata
Molineria capitulata
Cordia dichotoma
Pteris ensiformis
Bonnaya ruelloides
Deparia lancea
Urena procumbens
Anodendron benthamianum
Odontosoria chinensis
Arundo formosana
Onychium japonicum
Pilea microphylla
Dicranopteris linearis
Spilarctia subcarnea
Phraortes
Mictini
Chrysomelidae
Strepsinoma croesusalis
Elateroidea
Floridasura tricolor
Henosepilachna vigintioctopunctata
Acherontia lachesis
Spilarctia wilemani
Cyclosa
Marsdenia tinctoria
Luperini
Bibasis jaina formosana
Cazira verrucosa
Isoteinon lamprospilus
Nyctemera formosana
Philagra
Tettigonioidea
Eumelea ludovicata
Therates fruhstorferi sauteri
Traulia ornata
Commelinoideae
Typhonium blumei
Sida
Justicia procumbens
Erechtites valerianifolius
Selaginella moellendorffii
Marsdenia formosana
Chloranthus oldhamii
Asteraceae
Sphaerostephanos taiwanensis
Clematis leschenaultiana
Liliales
Arisaema ringens
Leptochilus ellipticus
Stephania
Ctenitis subglandulosa
Rubus buergeri
Arachniodes
Tetradium glabrifolium
Woodwardia orientalis
Coreoidea
Euricania ocellus
Orthetrum melania
Kanoscarta kanoniella
Goodyera rubicunda
Merus flavosignatus
Begonia longifolia
Baccha
Bombyx mandarina
Ptocasius strupifer
Parasteatoda
Acanthocoris
Eria scabrilinguis
Hamadruas
Chadisra bipartita
Marchantia emarginata
Pingasa ruginaria pacifica
Mucuna macrocarpa
Cardiodactylus guttulus
Leptogomphus sauteri formosanus
Elymnias hypermnestra
Rubus fraxinifolius
Musa itinerans formosana
Apriona rugicollis
Lyriothemis flava
