date,lat,lon,scientific_name,common_name,iconic_taxon_name,taxon_id,river
2016/11/12 00:00,24.83782235,121.5344417,Teleopsis quadriguttata,四斑泰突眼蠅,Insecta,524496,NanShi
2016/11/29 00:00,24.8663721,121.5497801,Asiophrida spectabilis,白紋大葉蚤,Insecta,1006487,NanShi
2016/11/12 00:00,24.8663721,121.5497801,Sedum actinocarpum,星果佛甲草,Plantae,705275,NanShi
2016/11/12 00:00,24.83819233,121.5344739,Drynaria coronans,崖薑蕨,Plantae,871544,NanShi
2011/11/3 00:00,24.84183718,121.540989,Appias lyncida,異色尖粉蝶 / 靈奇尖粉蝶,Insecta,146577,NanShi
2017/11/4 00:00,24.83886909,121.5283966,Dryopteris varia,南海鱗毛蕨,Plantae,361876,NanShi
2017/11/4 00:00,24.83853531,121.5342636,Lycianthes biflora,雙花龍葵,Plantae,604765,NanShi
2017/11/4 00:00,24.83886909,121.5283966,Asplenium cuneatiforme,大蓬萊鐵角蕨,Plantae,567442,NanShi
2017/11/4 00:00,24.83886909,121.5283966,Titanotrichum oldhamii,俄氏草,Plantae,544510,NanShi
2017/8/19 00:00,24.441891,121.377141,Hydrangea involucrata longifolia, ,Plantae,452293,MeiYou
2017/8/19 00:00,24.441891,121.377141,Juglans mandshurica mandshurica,野核桃,Plantae,1395303,MeiYou
2017/4/30 00:00,24.50507611,121.5259565,Petasites formosanus,台灣款冬,Plantae,606236,TianGou
2017/4/30 00:00,24.5053345,121.5258,Rhododendron formosanum,台灣杜鵑,Plantae,606234,TianGou
2017/4/30 00:00,24.50540833,121.525924,Ranunculus cantoniensis,水辣菜,Plantae,538174,TianGou
2017/4/30 00:00,24.50509227,121.5259153,Heterotropa, ,Plantae,1452662,TianGou
2017/4/30 00:00,24.50512065,121.5259703,Pilea matsudae,細尾冷水麻,Plantae,1402235,TianGou
2017/4/30 00:00,24.50471703,121.5261369,Paris polyphylla stenophylla,狹葉七葉一枝花,Plantae,604382,TianGou
2017/4/30 00:00,24.50506695,121.5262616,Sanicula petagnioides,五葉山芹菜,Plantae,705279,TianGou
2017/4/30 00:00,24.5050819,121.5260782,Disporum sessile intermedium,南投寶鐸花,Plantae,1403442,TianGou
2017/4/30 00:00,24.50511058,121.5259773,Ainsliaea henryi,長穗鬼督郵,Plantae,901703,TianGou
2017/4/30 00:00,24.50569327,121.5258432,Arisaema taiwanense,蓬萊天南星,Plantae,509076,TianGou
2017/5/29 00:00,24.5050395,121.5259461,Dryopteris peranema,柄囊蕨,Plantae,604518,TianGou
2017/4/30 00:00,24.50522407,121.5259458,Viola formosana,台灣菫菜,Plantae,606314,TianGou
