Ichneumonoidea
Clavaria fragilis
Leucoagaricus
Pluteus cervinus
Torenia concolor
Lepraria finkii
Patiscus
Elaeocarpus decipiens
Tipulidae
Rubus fraxinifolius
Hydrangea paniculata
Equisetum ramosissimum
Boehmeria densiflora
Caelifera
Lobelia nummularia
Byctiscus impressus formosanus
Whytockia sasakii
Begonia
Begonia formosana
Psychodinae
Rickenella
Coprinellus
Strophariaceae
Scleroderma
Russulaceae
Polyrhachis wolfi
Aves
Leucobryum
Evernia prunastri
Parmelioideae
Usnea hirta
Osmolindsaea odorata
Callicarpa randaiensis
Pteris terminalis
Skimmia reevesiana
Athyriaceae
Metathelypteris gracilescens
Smilax elongatoumbellata
Litsea elongata
Goodyera velutina
Smilax arisanensis
Salvia formosana matsudae
Chamabainia cuspidata
Isyndus obscurus
Daphne arisanensis
 
Antialcidas
Viburnum plicatum formosanum
Marasmius
Veronica persica
Forsythia
Galinsoga quadriradiata
Actinidia setosa
Acer caudatifolium
Acer morrisonense
Entoloma conferendum
Calvatia craniiformis
Calocera
Horornis
Asarum crassisepalum
Taenioptynx brodiei
Capricornis swinhoei
Ilex sugerokii brevipedunculata
Polypodiodes amoena
Protohermes costalis
Actias sinensis subaurea
Actias ningpoana
Scopula divisaria
Eumelea ludovicata
Usnea
Choerocampina
Cardueae
Cymatoderma
Coprinellus disseminatus
Sorineuchora
Fomitopsis pinicola
Artemisia indica
Paleosepharia formosana
Plecoptera
Megacampsomeris
Rosaceae
Ptyas dhumnades
Haematomma puniceum
Gentiana flavomaculata yuanyanghuensis
Rubus liui
Panellus minimus
Amauropelta beddomei
Microstegium nudum
Tetradium ruticarpum
Dryopteris hendersonii
Dryopteris squamiseta
Polystichum integripinnum
Dennstaedtia zeylanica
Athyrium decurrentialatum pilosellum
Athyrium delavayi subrigescens
Vaccinium japonicum lasiostemon
Agrostis
Lepisorus obscurevenolusus
Celastrus punctatus
Lithocarpus kawakamii
Lepidoptera
Piper kadsura
Codonacanthus pauciflorus
Orgyiini
Rubus lambertianus
Solanum capsicoides
Lycianthes biflora
Polypodiodes formosana
Blumea megacephala
Maesa perlaria formosana
Crassocephalum crepidioides
Turpinia formosana
Graphis scripta
Dennstaedtia scandens
Lemmaphyllum microphyllum
Lagerstroemia subcostata
Colocasia esculenta
Hydrocotyle nepalensis
Gonostegia triandra
Ixeridium laevigatum
Buergeria otai
Asilinae
Elaeagnus
Viola arcuata
Timomenus
Rorippa indica
Berberis hayatana
Arisaema consanguineum
Achalinus niger
Lycodon ruhstrati
Sassafras randaiense
Lycocerus
Schisandra arisanensis
Trigonotis formosana
Pseudohydnum gelatinosum
Brahmaea wallichii insulata
Euterpnosia
Lindera erythrocarpa
Peltigera
Paraspilarctia magna
Diarsia
Ghoria tecta
Cynoglossum zeylanicum
Scarabaeidae
Medinilla fengii
Lyonia ovalifolia
Phlegmariurus fordii
Cantao ocellatus
Rhipidolestes aculeatus
Galeola falconeri
Belippa horrida
Euterpnosia varicolor
Geranium
Viburnum foetidum rectangulatum
Salvia formosana
Pentarhizidium orientale
Tanna sozanensis
Polyommatini
Cynanchum boudieri
Phengaris atroguttata
Elaeagnus thunbergii
Gnezdilovius pendulus
Veronica arvensis
Papilionoidea
Hydrangea integrifolia
Aralia bipinnata
Prunella vulgaris
Puhuaea sequax
Hypericum japonicum
Sisyrinchium micranthum
Salvia formosana formosana
Potentilla indica
Senecio nemorensis
Rumex obtusifolius
Clinopodium chinense
Struthiopteris hancockii
Zanthoxylum schinifolium
Erigeron annuus
Juncus prismatocarpus leschenaultii
Sclerosomatidae
Oenanthe javanica
Persicaria nepalensis
Cryptotaenia japonica
Viburnum urceolatum
Hydrangea longifolia
Rubus taiwanicolus
Fagus hayatae
Hydrangea macrophylla
Lasiocampidae
Loepa mirandula
Harpyia formosicola
Lasioglossum
Momordica charantia
Cyperoideae
Rubia linii
Selaginella
Gaultheria leucocarpa
Aralia decaisneana
Vicia tetrasperma
Eupatorium chinense tozanense
Viburnum erosum
Cyclogramma auriculata
Arachniodes festina
Melissa axillaris
Skimmia
Huperzia serrata
Dryopteris kawakamii
Elatostema obtusum
Polystichum parvipinnulum
Zanthoxylum scandens
Illicium arborescens
Asarum
Muntiacus reevesi micrurus
Palirisa
Viburnum
Cerace stipatana
Hydrocotyle setulosa
Marumba cristata
Athyrium strigillosum
Brachycera
Vaccinium dunalianum caudatifolium
Gnaphaliinae
Daphniphyllum himalaense
Omphalotaceae
Lycopodioideae
Sphagnum cuspidatulum
Nolanea
Xylaria
Phlegmariurus sieboldii
Rubus taiwanicola
Carex filicina
Bartramia
Bambusicola sonorivox
Trametes hirsuta
Lepisorus monilisorus
Lecanoromycetes
Paris polyphylla
Clematis tashiroi
Erigeron sumatrensis
Reynoutria multiflora
Viola diffusa
Tricyrtis formosana
Entoloma indigoferum
Tipuloidea
Gerrini
Anura
Isopoda
Bulbophyllum macraei
Mysticapamea papplacii
Indolestes cyaneus
Dysosma pleiantha
Ranunculus taisanensis
Stellaria alsine
Hydrangea anomala
Stellaria reticulivena
Peracarpa carnosa
Rhododendron morii
Cerastium fontanum
Ennominae
Okiscarta uchidae
Ainsliaea
Erythranthe nepalensis
Gentiana davidii
Cortinarius sanguineus
Lichenomphalia ericetorum
Acer pseudosieboldianum
Atheniella aurantiidisca
Neriene
Aiolocaria hexaspilota
Corvus macrorhynchos
Viola
Rhododendron latoucheae
Plagiosterna formosana
Pinalia japonica
Valeriana flaccidissima
Lycoperdon perlatum
Ranunculus silerifolius
Alpinioideae
Styrax formosanus
Viola nagasawae
Woodwardia unigemmata
Oenothera stricta
Nacna buschmannferenci
Stenus
Issikiopteryx taipingensis
Cicadinae
Spaniocentra
Daphniphyllum oldhami
Euproctis taiwana
Hemiphragma heterophyllum
Arborophila crudigularis
Hydrocotyle sibthorpioides
Russula
Albizia julibrissin
Murdannia loriformis
Justicia procumbens procumbens
Prunella vulgaris asiatica
Mazus fauriei
Aemene punctilinea
Immidae
Helcystogramma
Paraglenea swinhoei
Sinarella c-album
Avitta taiwana
Autosticha
Bertula kosemponica
Callabraxas compositata basistrigaria
Catoria olivescens
Disparia wilemani
Trachylophus sinensis
Zanclognatha helva
Argiope aetheroides
Richardia brasiliensis
Psyrana japonica
Dorcus
Aegus laevicollis formosae
Rhododendron kawakamii
Sericini
Senecio
Cryptomeria
Anaphalis
Fatsia polycarpa
Juncus
Opiliones
Parmotrema
Debregeasia orientalis
Acrididae
Geisha distinctissima
Diploderma luei
Lethe insana formosana
Diestrammena ingens
Salvia japonica
Galium formosense
Barthea barthei
Lysimachia
Rhaetulus crenatus
Tineidae
Gelechioidea
Oxalis griffithii formosana
Conocephalum orientalis
Micropterigidae
Tetradium glabrifolium
Heteropoda
Mycenaceae
Cyphostethus
Baryrhynchus poweri
Aceraius grandis
Lithobiomorpha
Pseudophegopteris hirtirachis
Dryopteris wuzhaohongii
Diplazium kawakamii
Athyrium tripinnatum
Polypodiastrum mengtzeense
Athyrium nigripes
Acystopteris taiwaniana
Arachniodes amabilis
Hymenasplenium adiantifrons
Selaginella labordei
Leptogramma tottoides
Athyrium nakanoi
Polystichum hecatopterum
Smilax discotis
Machilus zuihoensis mushaensis
Melolonthinae
Periplaneta arisanica
Sinarella
Chinasa costalis bicoloriceps
Syntypistis viridipicta
Shaka mushana
Calletaera obliquata
Locharna strigipennis
Phyllothelys cornutus
Isoteinon lamprospilus formosanus
Cyperus cyperoides
Diaphanes citrinus
Diasemia
Sandalus sauteri
Reboulia hemisphaerica
Sinopodisma huangi
Scopula
Drymaria villosa
Drymaria cordata
Ampittia virgata myakei
Scopula propinquaria
Herminiinae
Gargela
Aulidiotis
Marasmia exigua
Birthamula rufa
Glaucocharis
Metopius metallicus
Ctenolepisma longicaudatum
Gelechiidae
Amphimenes
Herennia multipuncta
Nipponidion yaeyamense
Agelenidae
Isopsera brevissima
Phalacra strigata
Tyspanodes hypsalis
Eoxizicus taiwanensis
Conilepia nigricosta paiwan
Hypenagonia obliquifascia
